"Date","Open","High","Low","Close"
"30 Dec 2022","8069.70","8070.10","7988.60","8001.40"
"29 Dec 2022","8051.45","8113.20","7963.45","8026.50"
"28 Dec 2022","8083.40","8119.15","8028.75","8037.40"
"27 Dec 2022","8093.45","8138.45","8065.85","8086.45"
"26 Dec 2022","8204.75","8217.65","8068.20","8085.75"
"23 Dec 2022","8218.35","8348.60","8131.40","8155.10"
"22 Dec 2022","8315.05","8344.35","8195.85","8230.50"
"21 Dec 2022","8057.60","8261.25","8054.40","8247.70"
"20 Dec 2022","8046.90","8050.95","7971.05","8032.95"
"19 Dec 2022","8042.95","8059.45","7971.35","8052.30"
"16 Dec 2022","8126.70","8154.60","8024.65","8036.20"
"15 Dec 2022","8208.65","8242.55","8144.10","8159.65"
"14 Dec 2022","8192.00","8222.55","8168.25","8206.85"
"13 Dec 2022","8148.60","8168.20","8112.45","8157.45"
"12 Dec 2022","8145.55","8160.65","8089.05","8151.85"
"09 Dec 2022","8155.40","8188.10","8114.60","8153.55"
"08 Dec 2022","8224.10","8234.95","8113.30","8129.35"
"07 Dec 2022","8288.40","8304.00","8205.50","8215.55"
"06 Dec 2022","8322.40","8331.60","8240.40","8278.10"
"05 Dec 2022","8391.90","8402.40","8303.75","8333.95"
"02 Dec 2022","8374.45","8381.45","8315.85","8369.65"
"01 Dec 2022","8426.65","8426.65","8359.25","8375.25"
"30 Nov 2022","8356.60","8416.80","8323.50","8379.60"
"29 Nov 2022","8299.65","8368.65","8295.35","8344.50"
"28 Nov 2022","8283.95","8309.10","8262.60","8292.10"
"25 Nov 2022","8262.60","8296.35","8223.60","8290.35"
"24 Nov 2022","8242.60","8263.75","8219.95","8253.55"
"23 Nov 2022","8195.20","8222.50","8179.90","8214.00"
"22 Nov 2022","8147.85","8172.65","8104.75","8162.45"
"21 Nov 2022","8143.85","8149.40","8098.75","8128.60"
"18 Nov 2022","8234.50","8242.80","8142.35","8157.25"
"17 Nov 2022","8271.80","8287.80","8194.00","8210.40"
"16 Nov 2022","8291.50","8338.20","8225.95","8255.70"
"15 Nov 2022","8312.75","8325.60","8246.90","8308.50"
"14 Nov 2022","8233.90","8305.90","8161.00","8290.85"
"11 Nov 2022","8279.05","8357.80","8240.00","8260.90"
"10 Nov 2022","8281.40","8362.75","8178.10","8213.65"
"09 Nov 2022","8390.35","8433.80","8265.30","8283.60"
"07 Nov 2022","8518.00","8542.55","8361.60","8385.95"
"04 Nov 2022","8595.90","8602.85","8471.75","8493.40"
"03 Nov 2022","8548.75","8592.85","8536.40","8582.15"
"02 Nov 2022","8575.05","8692.3","8562.5","8580.10"
"01 Nov 2022","8436.8","8579.55","8426.95","8564.00"
"31 Oct 2022","8358.00","8450.75","8348.50","8401.85"
"28 Oct 2022","8389.05","8389.05","8297.65","8310.90"
"27 Oct 2022","8360.50","8401.50","8326.55","8389.70"
"25 Oct 2022","8299.35","8337.95","8266.90","8319.60"
"24 Oct 2022","8296.25","8301.90","8266.55","8280.40"
"21 Oct 2022","8298.20","8335.55","8222.05","8234.90"
"20 Oct 2022","8212.85","8288.20","8198.60","8280.80"
"19 Oct 2022","8242.30","8283.95","8198.60","8250.50"
"18 Oct 2022","8235.30","8246.05","8180.60","8229.40"
"17 Oct 2022","8164.85","8219.05","8152.20","8195.00"
"14 Oct 2022","8201.20","8226.30","8164.85","8178.20"
"13 Oct 2022","8107.05","8164.50","8086.65","8123.35"
"12 Oct 2022","8111.85","8128.60","8047.40","8106.55"
"11 Oct 2022","8246.20","8246.80","8080.00","8093.25"
"10 Oct 2022","8221.50","8267.90","8165.45","8223.20"
"07 Oct 2022","8316.50","8342.65","8269.60","8296.05"
"06 Oct 2022","8400.55","8401.70","8303.00","8329.50"
"04 Oct 2022","8363.05","8364.10","8294.60","8353.05"
"03 Oct 2022","8217.05","8370","8203.3","8280.35"
"30 Sep 2022","8174.6","8239.05","8125.9","8212.30"
"29 Sep 2022","8095.45","8201.75","8091.90","8157.50"
"28 Sep 2022","7945.25","8075.75","7928.20","8045.50"
"27 Sep 2022","7951.45","7986.45","7887.7","7976.70"
"26 Sep 2022","7969.65","7989.3","7877.1","7909.50"
"23 Sep 2022","8015.05","8113.05","7981.75","7993.30"
"22 Sep 2022","7945.75","8040.30","7943.50","8020.65"
"21 Sep 2022","8100.30","8143.55","7974.85","7990.75"
"20 Sep 2022","7837.15","8084.70","7834.60","8075.10"
"19 Sep 2022","7805.75","7822.25","7689.90","7806.60"
"16 Sep 2022","7914.05","7920.85","7773.80","7790.90"
"15 Sep 2022","8020.75","8035.15","7881.65","7898.05"
"14 Sep 2022","7945.00","8068.60","7944.55","8005.50"
"13 Sep 2022","8056.45","8072.20","8036.60","8051.75"
"12 Sep 2022","8040.45","8074.85","8037.05","8048.00"
"09 Sep 2022","8036.05","8097.60","8013.15","8028.50"
"08 Sep 2022","8052.60","8056.65","7978.20","8017.60"
"07 Sep 2022","7905.35","8015.15","7902.85","8003.55"
"06 Sep 2022","7917.40","7957.65","7915.55","7944.90"
"05 Sep 2022","7866.25","7911.30","7826.00","7902.50"
"02 Sep 2022","7928.00","7963.70","7861.25","7874.40"
"01 Sep 2022","7959.90","8006.45","7900.90","7905.35"
"30 Aug 2022","7940.00","8021.65","7928.40","8014.10"
"29 Aug 2022","7791.90","7926.05","7772.45","7916.60"
"26 Aug 2022","7963.20","7972.75","7915.35","7925.65"
"25 Aug 2022","7992.05","7998.75","7905.70","7920.35"
"24 Aug 2022","7969.65","7998.35","7911.60","7954.05"
"23 Aug 2022","7825.65","7966.60","7824.75","7952.35"
"22 Aug 2022","7971.20","8006.30","7867.60","7882.90"
"19 Aug 2022","8126.15","8148.65","8000.25","8016.45"
"18 Aug 2022","8132.10","8133.05","8048.20","8125.45"
"17 Aug 2022","8171.30","8189.00","8141.55","8157.10"
"16 Aug 2022","8114.70","8157.10","8087.55","8142.80"
"12 Aug 2022","8189.30","8192.60","8074.25","8093.10"
"11 Aug 2022","8207.25","8231.25","8175.85","8202.80"
"10 Aug 2022","8166.80","8214.10","8146.20","8179.25"
"08 Aug 2022","8142.85","8150.95","8101.40","8141.70"
"05 Aug 2022","8171.70","8207.70","8115.60","8135.65"
"04 Aug 2022","7993.20","8161.85","7969.30","8156.20"
"03 Aug 2022","8033.60","8063.30","7926.35","7967.80"
"02 Aug 2022","8028.40","8036.70","7985.25","8028.35"
"01 Aug 2022","8057.00","8080.00","7974.95","8022.95"
"29 Jul 2022","7945.40","8046.30","7868.30","8017.55"
"28 Jul 2022","7939.80","7947.85","7839.20","7934.05"
"27 Jul 2022","7738.50","7925.85","7702.10","7913.75"
"26 Jul 2022","7843.80","7850.15","7729.75","7738.95"
"25 Jul 2022","7899.10","7922.10","7821.95","7839.60"
"22 Jul 2022","7943.50","7956.40","7868.35","7899.05"
"21 Jul 2022","7952.00","7986.85","7889.10","7922.35"
"20 Jul 2022","7979.40","7979.40","7916.70","7936.45"
"19 Jul 2022","7889.25","7973.10","7888.45","7906.50"
"18 Jul 2022","7967.50","7994.85","7879.80","7911.95"
"15 Jul 2022","7931.65","7949.80","7867.30","7912.65"
"14 Jul 2022","7869.30","7983.00","7841.25","7897.00"
"13 Jul 2022","7772.10","7846.60","7734.35","7836.25"
"12 Jul 2022","7778.80","7849.80","7727.40","7743.15"
"11 Jul 2022","7741.75","7835.70","7698.15","7812.75"
"08 Jul 2022","7737.80","7752.85","7707.35","7745.65"
"07 Jul 2022","7708.85","7737.50","7690.20","7702.95"
"06 Jul 2022","7613.50","7674.50","7590.70","7661.10"
"05 Jul 2022","7594.15","7684.00","7580.00","7599.45"
"04 Jul 2022","7577.95","7642.80","7516.75","7573.50"
"01 Jul 2022","7488.90","7611.95","7467.40","7589.65"
"30 Jun 2022","7533.80","7581.85","7483.30","7511.00"
"29 Jun 2022","7518.80","7572.25","7501.25","7553.25"
"28 Jun 2022","7568.85","7589.25","7493.10","7577.75"
"27 Jun 2022","7609.30","7640.15","7559.05","7571.10"
"24 Jun 2022","7559.90","7618.40","7527.45","7551.60"
"23 Jun 2022","7422.90","7536.45","7411.25","7526.90"
"22 Jun 2022","7466.95","7520.15","7369.85","7410.10"
"21 Jun 2022","7383.65","7514.30","7379.70","7498.90"
"20 Jun 2022","7316.60","7374.10","7278.80","7358.60"
"17 Jun 2022","7397.20","7428.00","7249.70","7307.40"
"16 Jun 2022","7607.75","7614.50","7418.40","7448.35"
"15 Jun 2022","7565.15","7593.40","7526.95","7570.60"
"14 Jun 2022","7485.20","7584.75","7481.25","7542.15"
"13 Jun 2022","7567.70","7636.45","7479.05","7517.20"
"10 Jun 2022","7605.90","7666.05","7586.70","7651.25"
"09 Jun 2022","7555.30","7682.05","7512.50","7673.25"
"08 Jun 2022","7551.20","7585.80","7478.20","7575.95"
"07 Jun 2022","7601.30","7606.50","7491.70","7552.50"
"06 Jun 2022","7622.90","7666.85","7592.05","7633.15"
"03 Jun 2022","7725.30","7756.50","7620.40","7629.55"
"02 Jun 2022","7672.95","7705.05","7614.65","7685.05"
"01 Jun 2022","7835.85","7836.80","7651.05","7689.90"
"31 May 2022","7788.50","7857.70","7759.25","7807.45"
"30 May 2022","7862.15","7918.90","7821.55","7830.70"
"27 May 2022","7765.50","7831.35","7718.00","7823.20"
"26 May 2022","7692.60","7740.55","7571.55","7714.75"
"25 May 2022","7818.35","7851.70","7672.85","7681.15"
"24 May 2022","7926.85","7935.10","7773.95","7787.40"
