"Date","Open","High","Low","Close"
"30 Dec 2022","28887.80","29027.00","28564.75","28621.70"
"29 Dec 2022","28408.30","28724.75","28386.65","28687.20"
"28 Dec 2022","28495.75","28715.30","28346.25","28583.45"
"27 Dec 2022","28551.75","28685.00","28333.80","28636.25"
"26 Dec 2022","28268.25","28493.20","28209.95","28385.70"
"23 Dec 2022","28442.80","28603.60","28179.55","28237.05"
"22 Dec 2022","28973.35","29022.30","28629.85","28763.85"
"21 Dec 2022","28742.30","28958.15","28658.70","28764.20"
"20 Dec 2022","28464.85","28644.10","28109.15","28612.50"
"19 Dec 2022","28567.70","28698.25","28374.45","28556.45"
"16 Dec 2022","28805.95","29131.85","28623.65","28702.20"
"15 Dec 2022","29609.60","29615.95","29039.25","29087.95"
"14 Dec 2022","29546.95","29810.35","29503.10","29713.90"
"13 Dec 2022","29103.50","29421.10","28993.80","29376.55"
"12 Dec 2022","28940.95","29183.80","28661.10","29050.50"
"09 Dec 2022","30196.25","30196.25","29038.60","29168.45"
"08 Dec 2022","30175.85","30226.55","29983.40","30115.00"
"07 Dec 2022","30319.25","30337.30","30091.20","30187.05"
"06 Dec 2022","30656.20","30690.40","30323.95","30443.00"
"05 Dec 2022","31052.00","31104.10","30750.55","30891.50"
"02 Dec 2022","31097.55","31135.20","30869.70","31052.10"
"01 Dec 2022","30749.45","31227.60","30723.25","31120.50"
"30 Nov 2022","30274.50","30499.35","30133.95","30391.70"
"29 Nov 2022","30242.40","30568.35","30228.10","30345.65"
"28 Nov 2022","30207.75","30619.65","30152.85","30309.65"
"25 Nov 2022","30233.90","30400.35","29981.15","30334.60"
"24 Nov 2022","29507.55","30258.00","29464.75","30178.65"
"23 Nov 2022","29574.65","29592.05","29365.25","29405.60"
"22 Nov 2022","29195.70","29478.00","29020.35","29446.90"
"21 Nov 2022","29520.15","29576.15","29153.90","29209.55"
"18 Nov 2022","29739.20","29890.50","29398.95","29669.25"
"17 Nov 2022","29810.45","29838.60","29610.10","29681.40"
"16 Nov 2022","29920.65","30125.20","29812.90","29951.50"
"15 Nov 2022","29789.85","29926.15","29531.65","29865.25"
"14 Nov 2022","29709.75","29945.15","29610.55","29849.30"
"11 Nov 2022","29182.35","29733.15","29163.75","29591.95"
"10 Nov 2022","28287.85","28667.85","28284.65","28505.75"
"09 Nov 2022","28940.40","28940.40","28505.30","28626.80"
"07 Nov 2022","28815.95","28944.20","28480.65","28741.30"
"04 Nov 2022","28756.75","28757.95","28425.60","28693.05"
"03 Nov 2022","28866.35","28969.20","28643.50","28795.75"
"02 Nov 2022","29299.4","29307","29023.5","29138.65"
"01 Nov 2022","28924.25","29296.15","28874.65","29270.65"
"31 Oct 2022","28588.70","28843.15","28573.25","28727.60"
"28 Oct 2022","28567.65","28629.55","28267.20","28318.35"
"27 Oct 2022","28787.10","28827.45","28403.30","28572.20"
"25 Oct 2022","28687.90","28820.15","28544.65","28722.85"
"24 Oct 2022","28632.85","28663.65","28504.55","28534.30"
"21 Oct 2022","28428.40","28476.15","28207.30","28336.90"
"20 Oct 2022","27905.60","28462.25","27901.05","28432.20"
"19 Oct 2022","28370.50","28376.70","28007.05","28060.35"
"18 Oct 2022","28342.50","28402.95","28211.55","28315.20"
"17 Oct 2022","27903.35","28128.85","27798.70","28019.10"
"14 Oct 2022","28221.05","28371.30","27842.70","27954.05"
"13 Oct 2022","27625.75","27705.25","27346.50","27506.20"
"12 Oct 2022","27609.65","27752.00","27416.70","27694.65"
"11 Oct 2022","28065.15","28313.30","27400.05","27469.50"
"10 Oct 2022","27259.40","28097.60","27259.40","28027.60"
"07 Oct 2022","27874.85","27972.75","27656.65","27733.60"
"06 Oct 2022","27734.85","28009.30","27726.05","27928.75"
"04 Oct 2022","27163.35","27530.80","27106.50","27496.95"
"03 Oct 2022","26950.05","27011.5","26597.55","26729.10"
"30 Sep 2022","26713.05","27091","26453","26981.15"
"29 Sep 2022","27273.90","27300.00","26721.95","26819.05"
"28 Sep 2022","26778.85","27243.20","26773.80","27067.65"
"27 Sep 2022","26922.5","27101.1","26682.15","27004.15"
"26 Sep 2022","26431.9","27049.2","26186.7","26743.65"
"23 Sep 2022","26715.65","27063.50","26560.95","26592.35"
"22 Sep 2022","26659.05","27009.05","26552.45","26782.65"
"21 Sep 2022","26896.80","27020.50","26805.45","26843.25"
"20 Sep 2022","27079.15","27370.35","26969.55","27020.60"
"19 Sep 2022","26882.65","27034.00","26506.90","26810.15"
"16 Sep 2022","27530.60","27575.55","26632.95","26706.45"
"15 Sep 2022","28232.85","28265.75","27684.40","27734.35"
"14 Sep 2022","28215.75","28284.05","28040.30","28137.60"
"13 Sep 2022","29334.05","29344.90","29062.60","29116.85"
"12 Sep 2022","28975.90","29296.20","28932.05","29131.20"
"09 Sep 2022","28343.80","28848.40","28127.45","28724.00"
"08 Sep 2022","28109.70","28206.60","27959.65","28102.40"
"07 Sep 2022","27500.50","27917.80","27487.70","27832.40"
"06 Sep 2022","27884.85","27967.10","27580.35","27742.80"
"05 Sep 2022","27727.00","27978.80","27669.40","27836.60"
"02 Sep 2022","28083.30","28085.35","27717.15","27745.80"
"01 Sep 2022","27987.35","28020.00","27710.05","27846.80"
"30 Aug 2022","27971.95","28466.80","27831.35","28407.90"
"29 Aug 2022","27648.10","27773.10","27333.05","27678.95"
"26 Aug 2022","28862.35","29067.55","28638.95","28691.60"
"25 Aug 2022","29061.55","29081.75","28561.80","28608.65"
"24 Aug 2022","28981.35","29120.30","28762.45","28859.85"
"23 Aug 2022","29041.60","29188.90","28714.15","28957.85"
"22 Aug 2022","29847.35","29881.75","29430.95","29478.90"
"19 Aug 2022","30095.45","30474.65","29943.90","30036.10"
"18 Aug 2022","30148.80","30166.10","29857.65","30018.90"
"17 Aug 2022","29917.35","30328.15","29784.15","30256.90"
"16 Aug 2022","30130.90","30141.35","29826.25","29909.00"
"12 Aug 2022","30184.95","30195.00","29819.15","29885.90"
"11 Aug 2022","30164.20","30388.90","30073.95","30233.70"
"10 Aug 2022","30013.45","30013.45","29456.80","29701.15"
"08 Aug 2022","29999.15","30036.75","29694.15","29967.70"
"05 Aug 2022","29891.85","30080.20","29799.20","29973.55"
"04 Aug 2022","29694.05","29972.35","29278.15","29782.90"
"03 Aug 2022","29002.30","29453.35","28929.90","29416.95"
"02 Aug 2022","29131.10","29153.05","28871.20","29024.65"
"01 Aug 2022","29376.65","29376.65","28928.95","29220.00"
"29 Jul 2022","28983.25","29355.00","28909.15","29152.30"
"28 Jul 2022","28225.10","28703.40","28170.45","28663.05"
"27 Jul 2022","27420.65","27908.25","27339.95","27878.80"
"26 Jul 2022","28157.50","28157.50","27383.95","27418.85"
"25 Jul 2022","28006.65","28320.85","27890.65","28216.00"
"22 Jul 2022","28429.55","28549.25","27862.05","28168.15"
"21 Jul 2022","28116.55","28369.95","27848.75","28342.90"
"20 Jul 2022","27701.05","28175.50","27631.40","28146.35"
"19 Jul 2022","27071.80","27399.50","27065.80","27346.10"
"18 Jul 2022","26801.75","27376.20","26785.80","27322.95"
"15 Jul 2022","26664.30","26734.00","26189.40","26484.70"
"14 Jul 2022","27155.00","27162.90","26298.00","26523.30"
"13 Jul 2022","27228.95","27247.45","26872.75","26949.75"
"12 Jul 2022","27248.20","27504.40","27022.85","27063.75"
"11 Jul 2022","27855.75","27941.20","27195.65","27380.55"
"08 Jul 2022","28450.55","28459.55","28095.35","28250.30"
"07 Jul 2022","28217.80","28459.25","28077.05","28196.35"
"06 Jul 2022","27778.65","28148.90","27628.55","28007.60"
"05 Jul 2022","28020.30","28233.05","27642.60","27695.15"
"04 Jul 2022","28084.25","28174.40","27643.65","27890.65"
"01 Jul 2022","27718.80","28151.00","27524.30","28064.25"
"30 Jun 2022","28131.95","28325.65","27775.75","27843.35"
"29 Jun 2022","28105.70","28446.45","28046.75","28140.10"
"28 Jun 2022","28218.50","28602.05","27983.60","28509.10"
"27 Jun 2022","28293.20","28588.70","28251.40","28345.95"
"24 Jun 2022","28261.00","28361.20","27631.45","27777.80"
"23 Jun 2022","27532.75","28100.05","27532.75","28027.80"
"22 Jun 2022","27656.30","27824.05","27426.05","27488.35"
"21 Jun 2022","27202.90","27895.00","27137.90","27810.60"
"20 Jun 2022","26819.45","27112.65","26544.80","26966.20"
"17 Jun 2022","26866.60","26993.55","26399.75","26732.45"
"16 Jun 2022","28191.85","28224.50","27067.45","27136.45"
"15 Jun 2022","28017.95","28131.15","27786.65","27812.45"
"14 Jun 2022","27626.20","28249.60","27502.05","27953.35"
"13 Jun 2022","28419.85","28443.85","27792.10","27914.60"
"10 Jun 2022","29299.50","29350.60","29022.75","29114.30"
"09 Jun 2022","29254.40","29802.80","29062.20","29761.55"
"08 Jun 2022","29519.65","29588.40","29155.60","29472.15"
"07 Jun 2022","29593.45","29650.55","29243.90","29351.70"
"06 Jun 2022","29750.70","29972.85","29281.45","29819.80"
"03 Jun 2022","30169.95","30559.00","29858.15","29903.80"
"02 Jun 2022","29249.80","29875.35","29197.90","29792.35"
"01 Jun 2022","29822.15","29829.75","29148.55","29260.75"
"31 May 2022","29609.10","29807.35","29294.35","29679.05"
"30 May 2022","29084.10","29837.65","29069.00","29753.30"
"27 May 2022","28302.30","28728.30","28210.80","28641.60"
"26 May 2022","27729.15","28040.25","27516.40","27932.55"
"25 May 2022","28470.90","28479.35","27423.80","27566.10"
"24 May 2022","29123.60","29141.55","28425.40","28531.50"
"23 May 2022","28861.35","29308.25","28604.70","29079.30"
"20 May 2022","28884.75","28897.45","28577.65","28789.40"
"19 May 2022","29448.45","29495.15","28193.60","28352.15"
"18 May 2022","30367.50","30823.15","30045.65","30077.70"
"17 May 2022","29503.30","30313.90","29339.65","30218.70"
"16 May 2022","29680.65","29875.25","29278.35","29403.50"
"13 May 2022","30062.80","30115.05","29539.05","29624.85"
"12 May 2022","29744.50","30184.35","29497.25","29756.85"
"11 May 2022","30425.55","30548.55","29669.25","30050.20"
"10 May 2022","30635.00","30785.95","30343.10","30427.20"
"09 May 2022","30490.95","30934.45","30019.80","30733.30"
"06 May 2022","30803.75","30881.10","30278.85","30719.45"
"05 May 2022","31215.70","31470.15","31117.50","31432.45"
"04 May 2022","31260.40","31452.80","30663.40","30794.60"
"02 May 2022","31377.35","31409.65","30940.65","31138.80"
"29 Apr 2022","32135.90","32212.90","31541.35","31622.40"
"28 Apr 2022","31858.50","32156.30","31468.15","31914.35"
"27 Apr 2022","31689.85","31689.85","31276.15","31594.35"
"26 Apr 2022","32088.95","32141.45","31683.20","31840.05"
"25 Apr 2022","32103.20","32130.45","31637.45","31744.00"
"22 Apr 2022","32287.85","32748.85","32186.40","32426.70"
"21 Apr 2022","32399.60","32700.00","32145.30","32611.60"
"20 Apr 2022","32030.75","32306.35","31718.15","32173.35"
"19 Apr 2022","33108.65","33108.65","31569.35","31804.20"
"18 Apr 2022","33174.55","33366.15","32600.90","32780.05"
"13 Apr 2022","34553.10","34591.00","34231.80","34354.75"
"12 Apr 2022","34683.85","34747.75","34204.10","34379.50"
"11 Apr 2022","35429.65","35443.80","34832.85","34895.90"
"08 Apr 2022","35599.30","35679.30","35219.65","35394.45"
"07 Apr 2022","35744.65","35817.45","35379.20","35423.20"
"06 Apr 2022","36371.00","36371.90","35781.50","35871.50"
"05 Apr 2022","36534.95","36813.10","36423.50","36466.55"
"04 Apr 2022","36347.55","36526.75","36130.35","36442.90"
"01 Apr 2022","36228.25","36424.60","36039.65","36343.40"
"31 Mar 2022","36517.95","36663.20","36164.90","36317.20"
