Subdivision category,3166-2 code,Subdivision name
Union territory,IN-AN,Andaman and Nicobar Islands
state,IN-AP,Andhra Pradesh
state,IN-AR,Arunachal Pradesh
state,IN-AS,Assam
state,IN-BR,Bihar
Union territory,IN-CH,Chandigarh
state,IN-CT,Chhattisgarh
Union territory,IN-DL,Delhi
Union territory,IN-DH,Dadra and Nagar Haveli and Daman and Diu
state,IN-GA,Goa
state,IN-GJ,Gujarat
state,IN-HR,Haryana
state,IN-HP,Himachal Pradesh
Union territory,IN-JK,Jammu and Kashmir
state,IN-JH,Jharkhand
state,IN-KA,Karnataka
state,IN-KL,Kerala
Union territory,IN-LA,Ladakh
Union territory,IN-LD,Lakshadweep
state,IN-MP,Madhya Pradesh
state,IN-MH,Maharashtra
state,IN-MN,Manipur
state,IN-ML,Meghalaya
state,IN-MZ,Mizoram
state,IN-NL,Nagaland
state,IN-OR,Odisha
Union territory,IN-PY,Puducherry
state,IN-PB,Punjab
state,IN-RJ,Rajasthan
state,IN-SK,Sikkim
state,IN-TN,Tamil Nadu
state,IN-TG,Telangana
state,IN-TR,Tripura
state,IN-UP,Uttar Pradesh
state,IN-UT,Uttarakhand
state,IN-WB,West Bengal
