date_recorded|State_UT|dose_1|dose_2|15_18_years_dose_1|15_18_years_dose_2|12_14_years_dose_1|12_14_years_dose_2|precaution_dose|total_doses
2021-02-25|Andaman and Nicobar Islands|5644|2118|0|0|0|0|0|7762
2021-02-25|Andhra Pradesh|472460|120443|0|0|0|0|0|592903
2021-02-25|Arunachal Pradesh|22433|5497|0|0|0|0|0|27930
2021-02-25|Assam|179625|15795|0|0|0|0|0|195420
2021-02-25|Bihar|540315|60480|0|0|0|0|0|600795
2021-02-25|Chandigarh|17256|1306|0|0|0|0|0|18562
2021-02-25|Chhattisgarh|366493|39390|0|0|0|0|0|405883
2021-02-25|Dadra and Nagar Haveli and Daman and Diu|6905|520|0|0|0|0|0|7425
2021-02-25|Delhi|348669|29025|0|0|0|0|0|377694
2021-02-25|Goa|16741|1559|0|0|0|0|0|18300
2021-02-25|Gujarat|830565|80118|0|0|0|0|0|910683
2021-02-25|Haryana|216422|55075|0|0|0|0|0|271497
2021-02-25|Himachal Pradesh|98881|12818|0|0|0|0|0|111699
2021-02-25|Jammu and Kashmir|217910|10285|0|0|0|0|0|228195
2021-02-25|Jharkhand|272164|17708|0|0|0|0|0|289872
2021-02-25|Karnataka|586545|179124|0|0|0|0|0|765669
2021-02-25|Kerala|422669|70600|0|0|0|0|0|493269
2021-02-25|Ladakh|8199|748|0|0|0|0|0|8947
2021-02-25|Lakshadweep|2344|639|0|0|0|0|0|2983
2021-02-25|Madhya Pradesh|646766|77584|0|0|0|0|0|724350
2021-02-25|Maharashtra|981359|105752|0|0|0|0|0|1087111
2021-02-25|Manipur|46042|2190|0|0|0|0|0|48232
2021-02-25|Meghalaya|28248|1200|0|0|0|0|0|29448
2021-02-25|Miscellaneous|469356|39098|0|0|0|0|0|508454
2021-02-25|Mizoram|19643|4031|0|0|0|0|0|23674
2021-02-25|Nagaland|27195|5141|0|0|0|0|0|32336
2021-02-25|Odisha|450361|134587|0|0|0|0|0|584948
2021-02-25|Puducherry|9436|1023|0|0|0|0|0|10459
2021-02-25|Punjab|139305|27388|0|0|0|0|0|166693
2021-02-25|Rajasthan|783652|147570|0|0|0|0|0|931222
2021-02-25|Sikkim|15875|1056|0|0|0|0|0|16931
2021-02-25|Tamil Nadu|368678|46149|0|0|0|0|0|414827
2021-02-25|Telangana|283387|106583|0|0|0|0|0|389970
2021-02-25|Tripura|86336|16416|0|0|0|0|0|102752
2021-02-25|Uttar Pradesh|1140754|86021|0|0|0|0|0|1226775
2021-02-25|Uttarakhand|139169|11833|0|0|0|0|0|151002
2021-02-25|West Bengal|787013|99478|0|0|0|0|0|886491
2021-02-26|Andaman and Nicobar Islands|6034|2385|0|0|0|0|0|841
2021-02-26|Andhra Pradesh|503858|130591|0|0|0|0|0|63444
2021-02-26|Arunachal Pradesh|24193|6331|0|0|0|0|0|3052
2021-02-26|Assam|189569|21468|0|0|0|0|0|21103
2021-02-26|Bihar|548175|76211|0|0|0|0|0|62438
2021-02-26|Chandigarh|18894|1568|0|0|0|0|0|2046
2021-02-26|Chhattisgarh|373644|48347|0|0|0|0|0|42199
2021-02-26|Dadra and Nagar Haveli and Daman and Diu|7403|591|0|0|0|0|0|798
2021-02-26|Delhi|362072|34567|0|0|0|0|0|39663
2021-02-26|Goa|17875|1918|0|0|0|0|0|1979
2021-02-26|Gujarat|832737|125357|0|0|0|0|0|95809
2021-02-26|Haryana|220672|68361|0|0|0|0|0|28903
2021-02-26|Himachal Pradesh|100723|17041|0|0|0|0|0|11776
2021-02-26|Jammu and Kashmir|230494|13391|0|0|0|0|0|24388
2021-02-26|Jharkhand|280339|19440|0|0|0|0|0|29977
2021-02-26|Karnataka|596274|192934|0|0|0|0|0|78920
2021-02-26|Kerala|441597|88877|0|0|0|0|0|53047
2021-02-26|Ladakh|8753|748|0|0|0|0|0|950
2021-02-26|Lakshadweep|2353|688|0|0|0|0|0|304
2021-02-26|Madhya Pradesh|649377|131088|0|0|0|0|0|78046
2021-02-26|Maharashtra|1010322|131968|0|0|0|0|0|114229
2021-02-26|Manipur|48938|2239|0|0|0|0|0|5117
2021-02-26|Meghalaya|28860|1350|0|0|0|0|0|3021
2021-02-26|Miscellaneous|523554|40924|0|0|0|0|0|56447
2021-02-26|Mizoram|20955|4876|0|0|0|0|0|2583
2021-02-26|Nagaland|28691|5425|0|0|0|0|0|3411
2021-02-26|Odisha|458368|154434|0|0|0|0|0|61280
2021-02-26|Puducherry|9455|1024|0|0|0|0|0|1047
2021-02-26|Punjab|149029|32863|0|0|0|0|0|18189
2021-02-26|Rajasthan|797900|152486|0|0|0|0|0|95038
2021-02-26|Sikkim|16630|1228|0|0|0|0|0|1785
2021-02-26|Tamil Nadu|378411|50844|0|0|0|0|0|42925
2021-02-26|Telangana|284058|114020|0|0|0|0|0|39807
2021-02-26|Tripura|88487|19527|0|0|0|0|0|10801
2021-02-26|Uttar Pradesh|1167285|203454|0|0|0|0|0|137073
2021-02-26|Uttarakhand|140671|14323|0|0|0|0|0|15499
2021-02-26|West Bengal|872999|120107|0|0|0|0|0|99310
2021-02-27|Andaman and Nicobar Islands|6134|242|0|0|0|0|0|855
2021-02-27|Andhra Pradesh|529607|13933|0|0|0|0|0|66894
2021-02-27|Arunachal Pradesh|25379|674|0|0|0|0|0|3212
2021-02-27|Assam|195906|2767|0|0|0|0|0|22358
2021-02-27|Bihar|560158|7921|0|0|0|0|0|63937
2021-02-27|Chandigarh|20890|171|0|0|0|0|0|2260
2021-02-27|Chhattisgarh|377834|5179|0|0|0|0|0|42962
2021-02-27|Dadra and Nagar Haveli and Daman and Diu|7723|71|0|0|0|0|0|843
2021-02-27|Delhi|372906|3705|0|0|0|0|0|40995
2021-02-27|Goa|18722|207|0|0|0|0|0|2079
2021-02-27|Gujarat|833722|16744|0|0|0|0|0|100117
2021-02-27|Haryana|221841|7198|0|0|0|0|0|29382
2021-02-27|Himachal Pradesh|101504|2092|0|0|0|0|0|12242
2021-02-27|Jammu and Kashmir|240817|1625|0|0|0|0|0|25707
2021-02-27|Jharkhand|284371|2383|0|0|0|0|0|30820
2021-02-27|Karnataka|604954|21376|0|0|0|0|0|81872
2021-02-27|Kerala|482445|10486|0|0|0|0|0|58731
2021-02-27|Ladakh|9226|82|0|0|0|0|0|1005
2021-02-27|Lakshadweep|2368|71|0|0|0|0|0|307
2021-02-27|Madhya Pradesh|650684|16063|0|0|0|0|0|81131
2021-02-27|Maharashtra|1041947|16023|0|0|0|0|0|120218
2021-02-27|Manipur|52420|254|0|0|0|0|0|5496
2021-02-27|Meghalaya|30465|172|0|0|0|0|0|3219
2021-02-27|Miscellaneous|581724|4402|0|0|0|0|0|62574
