report_time,cured,death,confirmed,dose_1,dose_2,15_18_years_dose_1,15_18_years_dose_2,12_14_years_dose_1,12_14_years_dose_2,precaution_dose,total_doses,co,no2,o3,pm10,pm25,so2
2021-02-25,10738501,156705,11046914,10585459,1577250,0,0,0,0,0,12162709,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-02-26,10750680,156825,11063491,10916095,1992070,0,0,0,0,0,1290798,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-02-27,10763451,156938,11079979,11206945,240969,0,0,0,0,0,1361666,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-02-28,10775169,157051,11096731,11206945,2409858,0,0,0,0,0,13616803,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-02,10793969,157186,11119507,11541181,2546160,0,0,0,0,0,14087341,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-03,10812044,157346,11139516,12104262,2663423,0,0,0,0,0,14767685,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-04,10826075,157435,11156923,12849426,2824663,0,0,0,0,0,15674089,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-05,10839894,157548,11173761,13824866,3155117,0,0,0,0,0,16979983,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-06,10854128,157656,11192088,14945461,3446063,0,0,0,0,0,18391524,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-07,10868520,157756,11210799,16052469,3697683,0,0,0,0,0,19750152,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-08,10882798,157853,11229398,16106928,3704460,0,0,0,0,0,19811388,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-09,10899394,157930,11244786,17775516,4004876,0,0,0,0,0,21780392,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-10,10920046,158063,11262707,18796171,4299654,0,0,0,0,0,23095825,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-11,10938146,158189,11285561,19798735,4580318,0,0,0,0,0,24379053,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-12,10953303,158306,11308846,20179161,4649044,0,0,0,0,0,24828205,727.2248319792628,18.661093613619077,32.0129734636946,109.15835223449332,48.07488278732028,242.83745199489556
2021-03-13,10973260,158446,11333728,21804295,5052684,0,0,0,0,0,26856979,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-14,10989897,158607,11359048,23017615,5325178,0,0,0,0,0,28342793,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-15,11007352,158725,11385339,23161824,5349492,0,0,0,0,0,28511316,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-16,11027543,158856,11409831,25768402,5740814,0,0,0,0,0,31509216,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-17,11045284,159044,11438734,27527525,6052682,0,0,0,0,0,33580207,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-18,11063025,159216,11474605,29249458,6366525,0,0,0,0,0,35615983,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-19,11083679,159370,11514331,31059861,6707143,0,0,0,0,0,37767004,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-20,11107332,159558,11555284,33462283,6978676,0,0,0,0,0,40440959,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-21,11130288,159755,11599130,35734907,7200503,0,0,0,0,0,42935410,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-22,11151468,159967,11646081,36184022,7213545,0,0,0,0,0,43397567,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-23,11181253,160166,11686796,39229543,7538692,0,0,0,0,0,46768235,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-24,11205160,160441,11734058,41314673,7729240,0,0,0,0,0,49043913,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-25,11231650,160692,11787534,43416590,7870505,0,0,0,0,0,51287095,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-26,11264637,160949,11846652,45560000,8031538,0,0,0,0,0,53591538,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-27,11295023,161240,11908910,47973408,8169543,0,0,0,0,0,56142951,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-28,11323762,161552,11971624,49979912,8266425,0,0,0,0,0,58246337,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-29,11355993,161843,12039644,50191963,8271447,0,0,0,0,0,58463410,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-30,11393021,162114,12095855,50742921,8301160,0,0,0,0,0,59044081,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-03-31,11434301,162468,12149335,52519085,8449856,0,0,0,0,0,60968941,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-04-01,11474683,162927,12221656,54304100,8628746,0,0,0,0,0,62932846,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-04-02,11525039,163396,12303131,57659867,8862229,0,0,0,0,0,66522096,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-04-03,11569241,164110,12392260,61591508,9187961,0,0,0,0,0,70779469,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-04-04,11629289,164623,12485509,64241177,9400664,0,0,0,0,0,73641841,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-04-05,11682136,165101,12589067,67180244,9584570,0,0,0,0,0,76764814,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-04-06,11732279,165547,12686049,70767661,9925488,0,0,0,0,0,80693149,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-04-07,11792135,166177,12801785,74427948,10242677,0,0,0,0,0,84670625,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-04-08,11851393,166862,12928574,77231248,10489324,0,0,0,0,0,87720572,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-04-09,11913292,167642,13060542,80892654,10884703,0,0,0,0,0,91777357,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-04-10,11990859,168436,13205926,84180538,11287335,0,0,0,0,0,95467873,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-04-11,12081443,169275,13358805,87294906,11658792,0,0,0,0,0,98953698,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-04-12,12156529,170179,13527717,89995815,11889319,0,0,0,0,0,101885134,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-04-13,12253697,171058,13689453,93444598,12412615,0,0,0,0,0,105857213,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-04-14,12336036,172085,13873825,95697484,12776299,0,0,0,0,0,108473783,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-04-15,12429564,173123,14074564,98574206,13210733,0,0,0,0,0,111784939,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-04-16,12547866,174308,14291917,100737989,13748697,0,0,0,0,0,114486686,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-04-17,12671220,175649,14526609,102790122,14380000,0,0,0,0,0,117170122,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
2021-04-18,12809643,177150,14788109,104806835,15023369,0,0,0,0,0,119830204,691.8607522828681,18.661093613619077,31.959189149969113,109.38148316428459,48.07488278732028,243.01094345599614
