report_time,state_name,cured,death,confirmed,dose_1,dose_2,15_18_years_dose_1,15_18_years_dose_2,12_14_years_dose_1,12_14_years_dose_2,precaution_dose,total_doses
2021-02-26,Maharashtra,2012367,51993,2129821,1010322,131968,0,0,0,0,0,114229
2021-03-02,Himachal Pradesh,57347,996,58777,102373,25720,0,0,0,0,0,128093
2021-03-03,Rajasthan,316430,2787,320557,1005225,256548,0,0,0,0,0,1261773
2021-03-07,West Bengal,562945,10277,576435,1332857,247942,0,0,0,0,0,1580799
2021-03-16,Ladakh,9688,130,9852,33790,2927,0,0,0,0,0,36717
2021-03-21,Nagaland,12132,91,12225,51682,16252,0,0,0,0,0,67934
2021-03-26,Gujarat,280285,4473,294130,4012278,626484,0,0,0,0,0,4638762
2021-04-02,Madhya Pradesh,276002,3998,298057,3220877,515109,0,0,0,0,0,3735986
2021-04-18,Bihar,274207,1722,315427,4896516,682953,0,0,0,0,0,5579469
2021-04-19,Arunachal Pradesh,16809,56,16987,135397,37272,0,0,0,0,0,172669
2021-04-29,Delhi,979250,15377,1098051,2512517,635401,0,0,0,0,0,3147918
2021-04-30,Odisha,380400,2029,435513,4889676,889346,0,0,0,0,0,5779022
2021-05-06,Maharashtra,4164098,72662,4880542,13915088,2866631,0,0,0,0,0,16781719
2021-05-12,Jammu and Kashmir,171350,2847,224898,2244259,514862,0,0,0,0,0,2759121
2021-05-15,Meghalaya,17909,280,22203,319553,73859,0,0,0,0,0,393412
2021-05-21,Himachal Pradesh,136679,2595,172722,1870868,432961,0,0,0,0,0,2303829
2021-05-24,Goa,126800,2383,146460,390864,94683,0,0,0,0,0,485547
2021-05-29,Tripura,42468,498,49885,1067107,507489,0,0,0,0,0,1574596
2021-05-31,Maharashtra,5362370,94844,5731815,17774757,4532241,0,0,0,0,0,22306998
2021-06-07,Delhi,1398764,24591,1429244,4381431,1285767,0,0,0,0,0,5667198
2021-06-07,Goa,149479,2760,159393,473993,96283,0,0,0,0,0,570276
2021-06-11,Ladakh,18425,197,19475,148627,37355,0,0,0,0,0,185982
2021-06-18,Ladakh,19022,200,19704,159251,37436,0,0,0,0,0,196687
2021-07-07,Delhi,1408853,25001,1434687,6543046,1955333,0,0,0,0,0,8498379
2021-07-12,Chhattisgarh,979711,13478,997973,8510673,1870157,0,0,0,0,0,10380830
2021-07-12,Ladakh,19879,206,20195,181815,60730,0,0,0,0,0,242545
2021-07-12,Tamil Nadu,2453061,33418,2518786,14521761,2968689,0,0,0,0,0,17490450
2021-07-26,Sikkim,21813,330,25160,482041,144504,0,0,0,0,0,626545
2021-08-15,Meghalaya,66237,1220,71388,968883,257366,0,0,0,0,0,1226249
2021-08-21,Manipur,104173,1739,110215,1181171,292546,0,0,0,0,0,1473717
2021-08-23,Nagaland,28004,610,29589,646381,180500,0,0,0,0,0,826881
2021-08-23,Tamil Nadu,2547005,34709,2600885,23201583,5420622,0,0,0,0,0,28622205
2021-09-19,Assam,586856,5790,597709,17363828,4535264,0,0,0,0,0,21899092
2021-09-19,Chhattisgarh,991150,13560,1005042,11947147,4128435,0,0,0,0,0,16075582
2021-09-29,Nagaland,30130,664,31195,684749,352747,0,0,0,0,0,1037496
2021-09-29,Odisha,1012116,8187,1025309,21802532,8210821,0,0,0,0,0,30013353
2021-09-29,Uttarakhand,335912,7393,343519,7343596,3080236,0,0,0,0,0,10423832
2021-10-02,Maharashtra,6374892,139117,6553961,58110270,24632618,0,0,0,0,0,82742888
2021-10-06,Madhya Pradesh,781936,10522,792580,48775167,15664772,0,0,0,0,0,64439939
"","","","","",1903002,1560345,0,0,0,0,0,3463347
2021-10-11,Haryana,760845,9875,770993,17139426,6893251,0,0,0,0,0,24032677
2021-10-15,Lakshadweep,10312,51,10365,55027,44413,0,0,0,0,0,99440
2021-10-31,Nagaland,30925,684,31831,709360,489841,0,0,0,0,0,1199201
2021-11-04,Uttar Pradesh,1687167,22902,1710174,98985709,33709586,0,0,0,0,0,132695295
2021-11-05,Punjab,585664,16562,602466,15993648,6315304,0,0,0,0,0,22308952
2021-11-06,Telangana,664402,3963,672203,23062562,10279323,0,0,0,0,0,33341885
2021-11-11,Goa,174734,3371,178399,1269204,956452,0,0,0,0,0,2225656
2021-11-17,Sikkim,31590,401,32108,522598,461936,0,0,0,0,0,984534
2021-11-18,Punjab,585986,16575,602870,16272310,6900449,0,0,0,0,0,23172759
2021-11-19,Mizoram,125170,473,130912,723249,543041,0,0,0,0,0,1266290
2021-11-23,West Bengal,1583118,19397,1610460,61733854,26373531,0,0,0,0,0,88107385
2021-11-25,Tamil Nadu,2677607,36415,2722506,44090403,22703431,0,0,0,0,0,66793834
