timestamp,State,co,no2,o3,pm10,pm25,so2
2019-10-27,Andhra Pradesh,740.0,1.58,12.5,46.0,12.0,9.66
2019-11-05,Andhra Pradesh,740.0,1.58,64.7,46.0,12.0,9.66
2020-06-10,Andhra Pradesh,470.0,15.8,64.7,23.0,6.0,4.3
2020-06-11,Andhra Pradesh,420.0,30.73,44.07,59.67,23.33,3.5
2020-11-13,Andhra Pradesh,560.0,1.38,12.5,0.0,0.0,8.91
2020-11-19,Andhra Pradesh,560.0,1.38,19.4,0.0,0.0,8.91
2020-11-20,Andhra Pradesh,810.0,15.4,19.4,0.0,0.0,6.6
2022-03-29,Andhra Pradesh,810.0,15.4,19.4,72.0,40.0,6.6
2022-03-30,Andhra Pradesh,562.5,7.22,20.48,65.25,24.25,10.9
2022-03-31,Andhra Pradesh,541.25,8.86,14.86,57.25,22.62,10.35
2022-04-02,Andhra Pradesh,425.0,9.12,22.18,54.75,19.25,9.25
2022-04-03,Andhra Pradesh,460.0,13.25,21.32,51.25,18.5,15.52
2022-04-04,Andhra Pradesh,442.5,8.48,19.82,36.38,13.25,10.82
2022-04-05,Andhra Pradesh,422.5,10.68,13.55,26.0,9.25,9.95
2022-04-06,Andhra Pradesh,562.5,16.23,13.92,47.5,13.5,15.25
2022-04-07,Andhra Pradesh,740.0,20.02,11.85,57.25,18.5,11.77
2022-04-08,Andhra Pradesh,735.0,21.72,13.7,69.0,21.75,11.35
2022-04-09,Andhra Pradesh,770.0,17.58,14.32,31.38,6.75,10.95
2022-04-10,Andhra Pradesh,765.0,18.12,169.8,17.0,9.0,9.85
2022-04-11,Andhra Pradesh,755.0,20.98,13.73,34.5,11.0,10.6
2022-04-12,Andhra Pradesh,597.5,14.98,20.62,22.75,8.75,9.3
2022-04-13,Andhra Pradesh,502.5,22.6,7.48,54.25,13.75,12.3
2022-04-14,Andhra Pradesh,545.0,18.68,24.48,41.0,8.62,14.78
2022-04-15,Andhra Pradesh,592.5,20.05,56.75,39.25,10.0,12.28
2022-04-16,Andhra Pradesh,715.0,13.05,18.1,44.0,15.25,8.95
2022-04-17,Andhra Pradesh,555.0,21.92,26.2,48.25,19.5,14.4
2022-04-18,Andhra Pradesh,555.0,23.28,22.8,54.75,25.75,10.73
2022-04-19,Andhra Pradesh,630.0,14.38,27.48,78.75,27.25,13.4
